date,pe,tooth,walk,wc,eat,breath,speech,mind,now
Sun 2023-05-14, 80, 85, 5, 18, 55, 49, 35, vui|buồn, 90
Mon 2023-05-15, 60, 90, 40, 20, 25, 0, 0, buồn, 40
Tue 2023-05-16, 0, 65, 70, 35, 20, 25, 0, buồn|giận, 34
Wed 2023-05-17, 65, 45, 78, 68, 49, 89, 0, bình thường|vui, 23
Thu 2023-05-18, 0, 60, 80, 30, 30, 39, 0, trách móc , 23
Fri 2023-05-19, 80, 85, 40, 80, 20, 80, 0,  , 25
Sat 2023-05-20, 30, 15, 10, 40, 0, 20, 0,  , 21
Sun 2023-05-21, 35, 21, 10, 50, 50, 10, 0,  , 36
Mon 2023-05-22, 70, 45, 30, 20, 10, 8, 0, worry, 20
Tue 2023-05-23, 40, 65, 30, 65, 20, 15, 0, , 34
Wed 2023-05-24, 100, 65, 30, 68, 49, 0, 0, , 23
Thu 2023-05-25, 18, 30, 70, 70, 30, 0, 0, empty , 30
Fri 2023-05-26, 30, 75, 85, 70, 20, 30, 0, shame , 25
Sat 2023-05-27, 60, 75, 10, 40, 5, 10, 0, joy , 20
Sun 2023-05-28, 100, 70, 20, 80, 10, 20, 0, joy , 100
Mon 2023-05-29, 60, 90, 40, 80, 80, 60, 0, joy, 90
Tue 2023-05-30, 80, 85, 37, 60, 70, 60, 0, joy, 100
Wed 2023-05-31, 70, 85, 57, 60, 80, 60, 0, joy, 90
Thu 2023-06-01, 60, 85, 47, 60, 80, 30, 0, , 50
Fri 2023-06-02, 10, 60, 67, 60, 70, 30, 0, , 50
Sat 2023-06-03, 0, 0, 60, 10, 70, 70, 20, tired|angry|complaint , 50
Sun 2023-06-04, 0, 70, 20, 30, 50, 20, 0, tired|angry|complaint , 20
Mon 2023-06-05, 60, 90, 40, 80, 80, 60, 0, joy, 90
Tue 2023-06-06, 80, 85, 37, 60, 70, 60, 0, joy, 100
Wed 2023-06-07, 70, 85, 57, 60, 80, 60, 0, joy, 90
Thu 2023-06-08, 60, 85, 47, 60, 80, 30, 0, , 50
Fri 2023-06-09, 10, 60, 67, 60, 70, 30, 0, , 50
Sat 2023-06-10, 0, 0, 60, 10, 70, 70, 20, tired|angry|complaint , 50
Sun 2023-06-11, 0, 70, 20, 30, 50, 20, 0, tired|angry|complaint , 20
Mon 2023-06-12, 60, 90, 40, 80, 80, 60, 0, joy, 90
Tue 2023-06-13, 80, 85, 37, 60, 70, 60, 0, joy, 100
Wed 2023-06-14, 70, 85, 57, 60, 80, 60, 0, joy, 90
Thu 2023-06-15, 60, 85, 47, 60, 80, 30, 0, , 50
Fri 2023-06-16, 10, 60, 67, 60, 70, 30, 0, , 50
Sat 2023-06-17, 0, 0, 60, 10, 70, 70, 20, tired|angry|complaint , 50
Sun 2023-06-18, 0, 70, 20, 30, 50, 20, 0, tired|angry|complaint , 20
